algorithm,generation style,point count,hull size,heuristic,duration (s)
jarvis march,radial,4,4,no heuristic,0.0012925
jarvis march,radial,4,4,akl quadrilateral,0.000081
jarvis march,radial,4,4,akl octahedral,0.0000699
graham scan,radial,4,4,no heuristic,0.0015484
graham scan,radial,4,4,akl quadrilateral,0.0000456
graham scan,radial,4,4,akl octahedral,0.0000483
jarvis march,rectangular,4,3,no heuristic,0.0000249
jarvis march,rectangular,4,3,akl quadrilateral,0.0000746
jarvis march,rectangular,4,3,akl octahedral,0.0000484
graham scan,rectangular,4,3,no heuristic,0.0000379
graham scan,rectangular,4,3,akl quadrilateral,0.0000271
graham scan,rectangular,4,3,akl octahedral,0.0000441
jarvis march,circular,4,4,no heuristic,0.0000399
jarvis march,circular,4,4,akl quadrilateral,0.0000337
jarvis march,circular,4,4,akl octahedral,0.0000413
graham scan,circular,4,4,no heuristic,0.0000297
graham scan,circular,4,4,akl quadrilateral,0.0000434
graham scan,circular,4,4,akl octahedral,0.0000445
jarvis march,radial,8,7,no heuristic,0.0000425
jarvis march,radial,8,7,akl quadrilateral,0.0000656
jarvis march,radial,8,7,akl octahedral,0.0000702
graham scan,radial,8,7,no heuristic,0.0000668
graham scan,radial,8,7,akl quadrilateral,0.0000569
graham scan,radial,8,7,akl octahedral,0.0000488
jarvis march,rectangular,8,7,no heuristic,0.0001127
jarvis march,rectangular,8,7,akl quadrilateral,0.0000518
jarvis march,rectangular,8,7,akl octahedral,0.0000654
graham scan,rectangular,8,7,no heuristic,0.0000267
graham scan,rectangular,8,7,akl quadrilateral,0.0000464
graham scan,rectangular,8,7,akl octahedral,0.0000441
jarvis march,circular,8,8,no heuristic,0.0000261
jarvis march,circular,8,8,akl quadrilateral,0.0000411
jarvis march,circular,8,8,akl octahedral,0.0000459
graham scan,circular,8,8,no heuristic,0.0000234
graham scan,circular,8,8,akl quadrilateral,0.0000419
graham scan,circular,8,8,akl octahedral,0.0000463
jarvis march,radial,16,7,no heuristic,0.0000381
jarvis march,radial,16,7,akl quadrilateral,0.0000691
jarvis march,radial,16,7,akl octahedral,0.0000679
graham scan,radial,16,7,no heuristic,0.0000549
graham scan,radial,16,7,akl quadrilateral,0.0000609
graham scan,radial,16,7,akl octahedral,0.0000627
jarvis march,rectangular,16,8,no heuristic,0.0000464
jarvis march,rectangular,16,8,akl quadrilateral,0.0000649
jarvis march,rectangular,16,8,akl octahedral,0.000069
graham scan,rectangular,16,8,no heuristic,0.0000333
graham scan,rectangular,16,8,akl quadrilateral,0.0000768
graham scan,rectangular,16,8,akl octahedral,0.0000869
jarvis march,circular,16,16,no heuristic,0.0000974
jarvis march,circular,16,16,akl quadrilateral,0.0001227
jarvis march,circular,16,16,akl octahedral,0.0001463
graham scan,circular,16,16,no heuristic,0.000061
graham scan,circular,16,16,akl quadrilateral,0.0000394
graham scan,circular,16,16,akl octahedral,0.0000568
jarvis march,radial,32,12,no heuristic,0.0001365
jarvis march,radial,32,12,akl quadrilateral,0.0001089
jarvis march,radial,32,12,akl octahedral,0.0001148
graham scan,radial,32,12,no heuristic,0.0000773
graham scan,radial,32,12,akl quadrilateral,0.0000748
graham scan,radial,32,12,akl octahedral,0.0000727
jarvis march,rectangular,32,11,no heuristic,0.0000907
jarvis march,rectangular,32,11,akl quadrilateral,0.0001077
jarvis march,rectangular,32,11,akl octahedral,0.0000997
graham scan,rectangular,32,11,no heuristic,0.0000631
graham scan,rectangular,32,11,akl quadrilateral,0.0000506
graham scan,rectangular,32,11,akl octahedral,0.000066
jarvis march,circular,32,32,no heuristic,0.000293
jarvis march,circular,32,32,akl quadrilateral,0.0003051
jarvis march,circular,32,32,akl octahedral,0.0003102
graham scan,circular,32,32,no heuristic,0.0000424
graham scan,circular,32,32,akl quadrilateral,0.0000569
graham scan,circular,32,32,akl octahedral,0.0000898
jarvis march,radial,64,13,no heuristic,0.000274
jarvis march,radial,64,13,akl quadrilateral,0.0002636
jarvis march,radial,64,13,akl octahedral,0.0003864
graham scan,radial,64,13,no heuristic,0.0002576
graham scan,radial,64,13,akl quadrilateral,0.0001222
graham scan,radial,64,13,akl octahedral,0.0000934
jarvis march,rectangular,64,11,no heuristic,0.0001861
jarvis march,rectangular,64,11,akl quadrilateral,0.0001319
jarvis march,rectangular,64,11,akl octahedral,0.0001229
graham scan,rectangular,64,11,no heuristic,0.0000946
graham scan,rectangular,64,11,akl quadrilateral,0.0000708
graham scan,rectangular,64,11,akl octahedral,0.000083
jarvis march,circular,64,64,no heuristic,0.0009071
jarvis march,circular,64,64,akl quadrilateral,0.0009376
jarvis march,circular,64,64,akl octahedral,0.0012189
graham scan,circular,64,64,no heuristic,0.0001209
graham scan,circular,64,64,akl quadrilateral,0.0001195
graham scan,circular,64,64,akl octahedral,0.0003091
jarvis march,radial,128,15,no heuristic,0.0004578
jarvis march,radial,128,15,akl quadrilateral,0.0002916
jarvis march,radial,128,15,akl octahedral,0.0002366
graham scan,radial,128,15,no heuristic,0.0001992
graham scan,radial,128,15,akl quadrilateral,0.0001247
graham scan,radial,128,15,akl octahedral,0.0001368
jarvis march,rectangular,128,16,no heuristic,0.0004672
jarvis march,rectangular,128,16,akl quadrilateral,0.0002752
jarvis march,rectangular,128,16,akl octahedral,0.0002
graham scan,rectangular,128,16,no heuristic,0.0001454
graham scan,rectangular,128,16,akl quadrilateral,0.0001332
graham scan,rectangular,128,16,akl octahedral,0.0002361
jarvis march,circular,128,128,no heuristic,0.0039169
jarvis march,circular,128,128,akl quadrilateral,0.0036967
jarvis march,circular,128,128,akl octahedral,0.0028123
graham scan,circular,128,128,no heuristic,0.000125
graham scan,circular,128,128,akl quadrilateral,0.0001728
graham scan,circular,128,128,akl octahedral,0.0003705
jarvis march,radial,256,20,no heuristic,0.0008501
jarvis march,radial,256,20,akl quadrilateral,0.0004959
jarvis march,radial,256,20,akl octahedral,0.0005266
graham scan,radial,256,20,no heuristic,0.0004045
graham scan,radial,256,20,akl quadrilateral,0.0001877
graham scan,radial,256,20,akl octahedral,0.0001959
jarvis march,rectangular,256,12,no heuristic,0.0004761
jarvis march,rectangular,256,12,akl quadrilateral,0.0003093
jarvis march,rectangular,256,12,akl octahedral,0.0002016
graham scan,rectangular,256,12,no heuristic,0.0002286
graham scan,rectangular,256,12,akl quadrilateral,0.0001436
graham scan,rectangular,256,12,akl octahedral,0.0001238
jarvis march,circular,256,256,no heuristic,0.0105518
jarvis march,circular,256,256,akl quadrilateral,0.0099066
jarvis march,circular,256,256,akl octahedral,0.009636
graham scan,circular,256,256,no heuristic,0.0001674
graham scan,circular,256,256,akl quadrilateral,0.0005272
graham scan,circular,256,256,akl octahedral,0.0002888
jarvis march,radial,512,28,no heuristic,0.0023303
jarvis march,radial,512,28,akl quadrilateral,0.0009555
jarvis march,radial,512,28,akl octahedral,0.000607
graham scan,radial,512,28,no heuristic,0.000424
graham scan,radial,512,28,akl quadrilateral,0.0002687
graham scan,radial,512,28,akl octahedral,0.0002269
jarvis march,rectangular,512,16,no heuristic,0.0011007
jarvis march,rectangular,512,16,akl quadrilateral,0.0008779
jarvis march,rectangular,512,16,akl octahedral,0.0002908
graham scan,rectangular,512,16,no heuristic,0.0004991
graham scan,rectangular,512,16,akl quadrilateral,0.0003213
graham scan,rectangular,512,16,akl octahedral,0.0001596
jarvis march,circular,512,512,no heuristic,0.0366859
jarvis march,circular,512,512,akl quadrilateral,0.0364698
jarvis march,circular,512,512,akl octahedral,0.0425633
graham scan,circular,512,512,no heuristic,0.0002581
graham scan,circular,512,512,akl quadrilateral,0.0003196
graham scan,circular,512,512,akl octahedral,0.0003429
jarvis march,radial,1024,37,no heuristic,0.0052014
jarvis march,radial,1024,37,akl quadrilateral,0.002361
jarvis march,radial,1024,37,akl octahedral,0.0010685
graham scan,radial,1024,37,no heuristic,0.001188
graham scan,radial,1024,37,akl quadrilateral,0.0004889
graham scan,radial,1024,37,akl octahedral,0.0003588
jarvis march,rectangular,1024,19,no heuristic,0.0025879
jarvis march,rectangular,1024,19,akl quadrilateral,0.0015246
jarvis march,rectangular,1024,19,akl octahedral,0.0005207
graham scan,rectangular,1024,19,no heuristic,0.0005415
graham scan,rectangular,1024,19,akl quadrilateral,0.0004087
graham scan,rectangular,1024,19,akl octahedral,0.0002631
jarvis march,circular,1024,1024,no heuristic,0.1446837
jarvis march,circular,1024,1024,akl quadrilateral,0.1542428
jarvis march,circular,1024,1024,akl octahedral,0.1448671
graham scan,circular,1024,1024,no heuristic,0.0003709
graham scan,circular,1024,1024,akl quadrilateral,0.0005122
graham scan,circular,1024,1024,akl octahedral,0.000497
jarvis march,radial,2048,45,no heuristic,0.0125111
jarvis march,radial,2048,45,akl quadrilateral,0.004965
jarvis march,radial,2048,45,akl octahedral,0.0019502
graham scan,radial,2048,45,no heuristic,0.000989
graham scan,radial,2048,45,akl quadrilateral,0.0006066
graham scan,radial,2048,45,akl octahedral,0.0005213
jarvis march,rectangular,2048,19,no heuristic,0.0060732
jarvis march,rectangular,2048,19,akl quadrilateral,0.0030149
jarvis march,rectangular,2048,19,akl octahedral,0.000602
graham scan,rectangular,2048,19,no heuristic,0.0010174
graham scan,rectangular,2048,19,akl quadrilateral,0.0007478
graham scan,rectangular,2048,19,akl octahedral,0.0007755
jarvis march,circular,2048,2047,no heuristic,0.5940214
jarvis march,circular,2048,2047,akl quadrilateral,0.5857726
jarvis march,circular,2048,2047,akl octahedral,0.5767186
graham scan,circular,2048,2047,no heuristic,0.000811
graham scan,circular,2048,2047,akl quadrilateral,0.0008896
graham scan,circular,2048,2047,akl octahedral,0.000975
jarvis march,radial,4096,57,no heuristic,0.0319687
jarvis march,radial,4096,57,akl quadrilateral,0.0124349
jarvis march,radial,4096,57,akl octahedral,0.004248
graham scan,radial,4096,57,no heuristic,0.0020839
graham scan,radial,4096,57,akl quadrilateral,0.0015982
graham scan,radial,4096,57,akl octahedral,0.0012775
jarvis march,rectangular,4096,21,no heuristic,0.0135334
jarvis march,rectangular,4096,21,akl quadrilateral,0.0066893
jarvis march,rectangular,4096,21,akl octahedral,0.0011881
graham scan,rectangular,4096,21,no heuristic,0.0028957
graham scan,rectangular,4096,21,akl quadrilateral,0.0020763
graham scan,rectangular,4096,21,akl octahedral,0.0016213
jarvis march,circular,4096,4094,no heuristic,2.330485
jarvis march,circular,4096,4094,akl quadrilateral,2.3153113
jarvis march,circular,4096,4094,akl octahedral,2.3265509
graham scan,circular,4096,4094,no heuristic,0.0016283
graham scan,circular,4096,4094,akl quadrilateral,0.0017994
graham scan,circular,4096,4094,akl octahedral,0.0018484
jarvis march,radial,8192,68,no heuristic,0.0766052
jarvis march,radial,8192,68,akl quadrilateral,0.0304431
jarvis march,radial,8192,68,akl octahedral,0.0112671
