algorithm,generation style,point count,hull size,heuristic,duration (s)
jarvis march,radial,4,4,akl toussaint,0.007107
graham scan,radial,4,4,akl toussaint,0.0079864
jarvis march,rectangular,4,3,akl toussaint,0.000281
graham scan,rectangular,4,3,akl toussaint,0.0008094
jarvis march,circular,4,4,akl toussaint,0.0002737
graham scan,circular,4,4,akl toussaint,0.0002376
jarvis march,radial,8,5,akl toussaint,0.0004398
graham scan,radial,8,5,akl toussaint,0.0004464
jarvis march,rectangular,8,6,akl toussaint,0.0004757
graham scan,rectangular,8,6,akl toussaint,0.0002378
jarvis march,circular,8,8,akl toussaint,0.0003566
graham scan,circular,8,8,akl toussaint,0.0007533
jarvis march,radial,16,9,akl toussaint,0.0016411
graham scan,radial,16,9,akl toussaint,0.0003966
jarvis march,rectangular,16,7,akl toussaint,0.0008021
graham scan,rectangular,16,7,akl toussaint,0.0006125
jarvis march,circular,16,16,akl toussaint,0.0012133
graham scan,circular,16,16,akl toussaint,0.0006988
jarvis march,radial,32,11,akl toussaint,0.0007624
graham scan,radial,32,11,akl toussaint,0.0008344
jarvis march,rectangular,32,9,akl toussaint,0.0007498
graham scan,rectangular,32,9,akl toussaint,0.0003948
jarvis march,circular,32,32,akl toussaint,0.0022713
graham scan,circular,32,32,akl toussaint,0.0016588
jarvis march,radial,64,14,akl toussaint,0.002142
graham scan,radial,64,14,akl toussaint,0.0027093
jarvis march,rectangular,64,11,akl toussaint,0.0016155
graham scan,rectangular,64,11,akl toussaint,0.0010019
jarvis march,circular,64,64,akl toussaint,0.011117
graham scan,circular,64,64,akl toussaint,0.0015451
jarvis march,radial,128,14,akl toussaint,0.0021697
graham scan,radial,128,14,akl toussaint,0.0018315
jarvis march,rectangular,128,11,akl toussaint,0.0034014
graham scan,rectangular,128,11,akl toussaint,0.0025188
jarvis march,circular,128,128,akl toussaint,0.0354673
graham scan,circular,128,128,akl toussaint,0.0026494
jarvis march,radial,256,19,akl toussaint,0.0074575
graham scan,radial,256,19,akl toussaint,0.0024058
jarvis march,rectangular,256,12,akl toussaint,0.0034138
graham scan,rectangular,256,12,akl toussaint,0.0057541
jarvis march,circular,256,256,akl toussaint,0.0979987
graham scan,circular,256,256,akl toussaint,0.0034589
jarvis march,radial,512,24,akl toussaint,0.0094203
graham scan,radial,512,24,akl toussaint,0.0072779
jarvis march,rectangular,512,18,akl toussaint,0.0090084
graham scan,rectangular,512,18,akl toussaint,0.0030423
jarvis march,circular,512,512,akl toussaint,0.2861872
graham scan,circular,512,512,akl toussaint,0.0054244
algorithm,generation style,point count,hull size,heuristic,duration (s)
jarvis march,radial,4,4,akl toussaint,0.0087222
graham scan,radial,4,4,akl toussaint,0.0105368
jarvis march,rectangular,4,3,akl toussaint,0.0002366
graham scan,rectangular,4,3,akl toussaint,0.0011657
jarvis march,circular,4,4,akl toussaint,0.0004545
graham scan,circular,4,4,akl toussaint,0.0004027
jarvis march,radial,8,4,akl toussaint,0.0007812
graham scan,radial,8,4,akl toussaint,0.0004305
jarvis march,rectangular,8,5,akl toussaint,0.000387
graham scan,rectangular,8,5,akl toussaint,0.0003656
jarvis march,circular,8,8,akl toussaint,0.0008089
graham scan,circular,8,8,akl toussaint,0.0003773
jarvis march,radial,16,10,akl toussaint,0.0009285
graham scan,radial,16,10,akl toussaint,0.0005319
jarvis march,rectangular,16,9,akl toussaint,0.0013159
graham scan,rectangular,16,9,akl toussaint,0.0004899
jarvis march,circular,16,16,akl toussaint,0.0010799
graham scan,circular,16,16,akl toussaint,0.0009376
jarvis march,radial,32,10,akl toussaint,0.0023026
graham scan,radial,32,10,akl toussaint,0.0008821
jarvis march,rectangular,32,8,akl toussaint,0.0007429
graham scan,rectangular,32,8,akl toussaint,0.0005657
jarvis march,circular,32,32,akl toussaint,0.0024058
graham scan,circular,32,32,akl toussaint,0.0009059
jarvis march,radial,64,14,akl toussaint,0.007821
graham scan,radial,64,14,akl toussaint,0.0015618
jarvis march,rectangular,64,9,akl toussaint,0.0009501
graham scan,rectangular,64,9,akl toussaint,0.0009409
jarvis march,circular,64,64,akl toussaint,0.0103192
graham scan,circular,64,64,akl toussaint,0.0044507
algorithm,generation style,point count,hull size,heuristic,duration (s)
jarvis march,radial,4,4,no heuristic,0.0094598
jarvis march,radial,4,4,akl toussaint,0.0010514
graham scan,radial,4,4,no heuristic,0.0128485
graham scan,radial,4,4,akl toussaint,0.0002673
jarvis march,rectangular,4,4,no heuristic,0.0001322
jarvis march,rectangular,4,4,akl toussaint,0.00035
graham scan,rectangular,4,4,no heuristic,0.0001305
graham scan,rectangular,4,4,akl toussaint,0.0002323
jarvis march,circular,4,4,no heuristic,0.0001501
jarvis march,circular,4,4,akl toussaint,0.000369
graham scan,circular,4,4,no heuristic,0.0001396
graham scan,circular,4,4,akl toussaint,0.000472
jarvis march,radial,8,6,no heuristic,0.0018111
jarvis march,radial,8,6,akl toussaint,0.0010277
graham scan,radial,8,6,no heuristic,0.0007247
graham scan,radial,8,6,akl toussaint,0.0003947
jarvis march,rectangular,8,4,no heuristic,0.0003522
jarvis march,rectangular,8,4,akl toussaint,0.0010797
graham scan,rectangular,8,4,no heuristic,0.0001857
graham scan,rectangular,8,4,akl toussaint,0.000281
jarvis march,circular,8,8,no heuristic,0.0008423
jarvis march,circular,8,8,akl toussaint,0.0005528
graham scan,circular,8,8,no heuristic,0.0006694
graham scan,circular,8,8,akl toussaint,0.0003005
jarvis march,radial,16,7,no heuristic,0.0003588
jarvis march,radial,16,7,akl toussaint,0.0012024
graham scan,radial,16,7,no heuristic,0.0007433
graham scan,radial,16,7,akl toussaint,0.000782
jarvis march,rectangular,16,8,no heuristic,0.0009497
jarvis march,rectangular,16,8,akl toussaint,0.0011811
graham scan,rectangular,16,8,no heuristic,0.0003963
graham scan,rectangular,16,8,akl toussaint,0.0005055
jarvis march,circular,16,16,no heuristic,0.0008611
jarvis march,circular,16,16,akl toussaint,0.0008704
graham scan,circular,16,16,no heuristic,0.0002436
graham scan,circular,16,16,akl toussaint,0.0004907
jarvis march,radial,32,10,no heuristic,0.0009386
jarvis march,radial,32,10,akl toussaint,0.0008934
graham scan,radial,32,10,no heuristic,0.0011916
graham scan,radial,32,10,akl toussaint,0.0008285
jarvis march,rectangular,32,7,no heuristic,0.0007169
jarvis march,rectangular,32,7,akl toussaint,0.000833
graham scan,rectangular,32,7,no heuristic,0.0016
graham scan,rectangular,32,7,akl toussaint,0.0008278
jarvis march,circular,32,32,no heuristic,0.0025519
jarvis march,circular,32,32,akl toussaint,0.0058808
graham scan,circular,32,32,no heuristic,0.0004425
graham scan,circular,32,32,akl toussaint,0.0006045
jarvis march,radial,64,13,no heuristic,0.0045514
jarvis march,radial,64,13,akl toussaint,0.0015918
graham scan,radial,64,13,no heuristic,0.0010266
graham scan,radial,64,13,akl toussaint,0.0008528
jarvis march,rectangular,64,9,no heuristic,0.001149
jarvis march,rectangular,64,9,akl toussaint,0.0059837
graham scan,rectangular,64,9,no heuristic,0.0009203
graham scan,rectangular,64,9,akl toussaint,0.0010618
jarvis march,circular,64,64,no heuristic,0.0171615
jarvis march,circular,64,64,akl toussaint,0.0137084
graham scan,circular,64,64,no heuristic,0.0005637
