algorithm,generation style,problem size,solution size,duration (s)
jarvis march,radial,4,4,0.002
jarvis march,radial,8,5,0.0
jarvis march,radial,16,7,0.001
jarvis march,radial,32,8,0.0
jarvis march,radial,64,13,0.0
jarvis march,radial,128,14,0.001
jarvis march,radial,256,20,0.001
jarvis march,radial,512,29,0.003
jarvis march,radial,1024,33,0.008
jarvis march,radial,2048,44,0.015
jarvis march,radial,4096,50,0.031
jarvis march,radial,8192,69,0.078
jarvis march,radial,16384,83,0.185
jarvis march,radial,32768,114,0.502
jarvis march,radial,65536,135,1.195
jarvis march,radial,131072,162,2.861
jarvis march,radial,262144,197,6.959
jarvis march,radial,524288,268,19.638
jarvis march,radial,1048576,359,52.648
jarvis march,radial,2097152,444,131.03
jarvis march,radial,4194304,558,388.134
jarvis march,radial,8388608,703,844.208
jarvis march,rectangular,4,4,0.0
jarvis march,rectangular,8,6,0.0
jarvis march,rectangular,16,5,0.0
jarvis march,rectangular,32,8,0.0
jarvis march,rectangular,64,12,0.0
jarvis march,rectangular,128,15,0.0
jarvis march,rectangular,256,16,0.001
jarvis march,rectangular,512,18,0.002
jarvis march,rectangular,1024,22,0.003
jarvis march,rectangular,2048,21,0.006
jarvis march,rectangular,4096,21,0.012
jarvis march,rectangular,8192,24,0.027
jarvis march,rectangular,16384,25,0.055
jarvis march,rectangular,32768,26,0.115
jarvis march,rectangular,65536,25,0.224
jarvis march,rectangular,131072,31,0.549
jarvis march,rectangular,262144,39,1.443
jarvis march,rectangular,524288,33,2.307
jarvis march,rectangular,1048576,34,4.811
jarvis march,rectangular,2097152,44,12.654
jarvis march,rectangular,4194304,46,26.304
jarvis march,rectangular,8388608,44,49.742
jarvis march,circular,4,4,0.0
jarvis march,circular,8,8,0.0
jarvis march,circular,16,16,0.0
jarvis march,circular,32,32,0.0
jarvis march,circular,64,64,0.0
jarvis march,circular,128,128,0.002
jarvis march,circular,256,256,0.009
jarvis march,circular,512,512,0.037
jarvis march,circular,1024,1024,0.147
jarvis march,circular,2048,2048,0.59
jarvis march,circular,4096,4092,2.363
jarvis march,circular,8192,8159,9.417
jarvis march,circular,16384,16213,37.442
jarvis march,circular,32768,31688,146.111
jarvis march,circular,65536,59909,562.641
jarvis march,circular,131072,105044,1980.673
jarvis march,circular,262144,161249,6073.715
jarvis march,circular,524288,215042,16202.683
jarvis march,circular,1048576,264206,39776.701
jarvis march,circular,2097152,316868,95317.491
jarvis march,circular,4194304,373253,225404.77
