algorithm,vertex count,edge count,density,cover size,duration (s)
exact exhaustive,2,0,0.0000,0,0.0005777
exact increasing size,2,0,0.0000,0,0.0000058
approximation two factor,2,0,0.0000,0,0.00077
approximation one by one,2,0,0.0000,0,0.000008
exact exhaustive,2,0,0.0000,0,0.0000011
exact increasing size,2,0,0.0000,0,0.000002
approximation two factor,2,0,0.0000,0,0.0000038
approximation one by one,2,0,0.0000,0,0.0000036
exact exhaustive,2,0,0.0000,0,0.000001
exact increasing size,2,0,0.0000,0,0.0000016
approximation two factor,2,0,0.0000,0,0.0000037
approximation one by one,2,0,0.0000,0,0.0000039
exact exhaustive,2,0,0.0000,0,0.0000013
exact increasing size,2,0,0.0000,0,0.000002
approximation two factor,2,0,0.0000,0,0.000005
approximation one by one,2,0,0.0000,0,0.0000044
exact exhaustive,2,1,1.0000,1,0.0000238
exact increasing size,2,1,1.0000,1,0.0000233
approximation two factor,2,1,1.0000,2,0.0000491
approximation one by one,2,1,1.0000,1,0.0000257
exact exhaustive,2,0,0.0000,0,0.0000011
exact increasing size,2,0,0.0000,0,0.0000018
approximation two factor,2,0,0.0000,0,0.0000037
approximation one by one,2,0,0.0000,0,0.0000056
exact exhaustive,2,1,1.0000,1,0.0000089
exact increasing size,2,1,1.0000,1,0.0000187
approximation two factor,2,1,1.0000,2,0.0000207
approximation one by one,2,1,1.0000,1,0.0000165
exact exhaustive,2,1,1.0000,1,0.0000104
exact increasing size,2,1,1.0000,1,0.0000209
approximation two factor,2,1,1.0000,2,0.0000215
approximation one by one,2,1,1.0000,1,0.0000166
exact exhaustive,2,1,1.0000,1,0.0000116
exact increasing size,2,1,1.0000,1,0.0000222
approximation two factor,2,1,1.0000,2,0.0000195
approximation one by one,2,1,1.0000,1,0.0000234
exact exhaustive,2,1,1.0000,1,0.0000086
exact increasing size,2,1,1.0000,1,0.0000225
approximation two factor,2,1,1.0000,2,0.0000256
approximation one by one,2,1,1.0000,1,0.0000178
exact exhaustive,2,1,1.0000,1,0.0000084
exact increasing size,2,1,1.0000,1,0.0000168
approximation two factor,2,1,1.0000,2,0.0000345
approximation one by one,2,1,1.0000,1,0.000017
exact exhaustive,2,1,1.0000,1,0.0000147
exact increasing size,2,1,1.0000,1,0.0000147
approximation two factor,2,1,1.0000,2,0.0000195
approximation one by one,2,1,1.0000,1,0.0000165
exact exhaustive,3,1,0.3333,1,0.0000162
exact increasing size,3,1,0.3333,1,0.0000178
approximation two factor,3,1,0.3333,2,0.0000213
approximation one by one,3,1,0.3333,1,0.0000167
exact exhaustive,3,1,0.3333,1,0.00001
exact increasing size,3,1,0.3333,1,0.0000163
approximation two factor,3,1,0.3333,2,0.0000198
approximation one by one,3,1,0.3333,1,0.0000205
exact exhaustive,3,1,0.3333,1,0.0000097
exact increasing size,3,1,0.3333,1,0.0000174
approximation two factor,3,1,0.3333,2,0.0000268
approximation one by one,3,1,0.3333,1,0.0000253
exact exhaustive,3,2,0.6667,1,0.0000172
exact increasing size,3,2,0.6667,1,0.000027
approximation two factor,3,2,0.6667,2,0.0000188
approximation one by one,3,2,0.6667,2,0.000021
exact exhaustive,3,1,0.3333,1,0.0000124
exact increasing size,3,1,0.3333,1,0.0000604
approximation two factor,3,1,0.3333,2,0.000036
approximation one by one,3,1,0.3333,1,0.0000746
exact exhaustive,3,2,0.6667,1,0.0000197
exact increasing size,3,2,0.6667,1,0.0000264
approximation two factor,3,2,0.6667,2,0.0000278
approximation one by one,3,2,0.6667,1,0.0000171
exact exhaustive,3,2,0.6667,1,0.0000094
exact increasing size,3,2,0.6667,1,0.0000162
approximation two factor,3,2,0.6667,2,0.00002
approximation one by one,3,2,0.6667,2,0.0000257
exact exhaustive,3,3,1.0000,2,0.0000134
exact increasing size,3,3,1.0000,2,0.0000248
approximation two factor,3,3,1.0000,2,0.0000333
approximation one by one,3,3,1.0000,2,0.0000212
exact exhaustive,3,3,1.0000,2,0.0000125
exact increasing size,3,3,1.0000,2,0.0000302
approximation two factor,3,3,1.0000,2,0.0000194
approximation one by one,3,3,1.0000,2,0.0000197
exact exhaustive,3,3,1.0000,2,0.0000159
exact increasing size,3,3,1.0000,2,0.0000264
approximation two factor,3,3,1.0000,2,0.0000416
approximation one by one,3,3,1.0000,2,0.0000494
exact exhaustive,3,3,1.0000,2,0.0000287
exact increasing size,3,3,1.0000,2,0.0000363
approximation two factor,3,3,1.0000,2,0.000027
approximation one by one,3,3,1.0000,2,0.0000245
exact exhaustive,3,3,1.0000,2,0.0000128
exact increasing size,3,3,1.0000,2,0.0000286
approximation two factor,3,3,1.0000,2,0.0000209
approximation one by one,3,3,1.0000,2,0.0000268
exact exhaustive,4,1,0.1667,1,0.000011
exact increasing size,4,1,0.1667,1,0.0000165
approximation two factor,4,1,0.1667,2,0.0000174
approximation one by one,4,1,0.1667,1,0.0000144
exact exhaustive,4,1,0.1667,1,0.0000114
exact increasing size,4,1,0.1667,1,0.0000176
approximation two factor,4,1,0.1667,2,0.0000158
approximation one by one,4,1,0.1667,1,0.0000133
exact exhaustive,4,3,0.5000,2,0.0000199
exact increasing size,4,3,0.5000,2,0.0000387
approximation two factor,4,3,0.5000,4,0.0000419
approximation one by one,4,3,0.5000,2,0.0001268
exact exhaustive,4,2,0.3333,1,0.0000196
exact increasing size,4,2,0.3333,1,0.0000739
approximation two factor,4,2,0.3333,2,0.0000324
approximation one by one,4,2,0.3333,1,0.0000195
exact exhaustive,4,1,0.1667,1,0.0000152
exact increasing size,4,1,0.1667,1,0.0000197
approximation two factor,4,1,0.1667,2,0.0000218
approximation one by one,4,1,0.1667,1,0.0000147
exact exhaustive,4,5,0.8333,2,0.0000189
exact increasing size,4,5,0.8333,2,0.0000408
approximation two factor,4,5,0.8333,4,0.0000449
approximation one by one,4,5,0.8333,2,0.0000235
exact exhaustive,4,6,1.0000,3,0.0000282
exact increasing size,4,6,1.0000,3,0.0000564
approximation two factor,4,6,1.0000,4,0.0000283
approximation one by one,4,6,1.0000,3,0.0000306
exact exhaustive,4,5,0.8333,2,0.0000196
exact increasing size,4,5,0.8333,2,0.0000291
approximation two factor,4,5,0.8333,4,0.0000309
approximation one by one,4,5,0.8333,3,0.0000725
exact exhaustive,4,6,1.0000,3,0.0000571
exact increasing size,4,6,1.0000,3,0.0001521
approximation two factor,4,6,1.0000,4,0.0000476
approximation one by one,4,6,1.0000,3,0.0000357
exact exhaustive,4,6,1.0000,3,0.0000224
exact increasing size,4,6,1.0000,3,0.0000832
approximation two factor,4,6,1.0000,4,0.0000307
approximation one by one,4,6,1.0000,3,0.0000299
exact exhaustive,4,6,1.0000,3,0.0000263
exact increasing size,4,6,1.0000,3,0.000065
approximation two factor,4,6,1.0000,4,0.0000287
approximation one by one,4,6,1.0000,3,0.0000268
exact exhaustive,4,6,1.0000,3,0.0000358
exact increasing size,4,6,1.0000,3,0.0000419
approximation two factor,4,6,1.0000,4,0.0000286
approximation one by one,4,6,1.0000,3,0.0000365
exact exhaustive,5,1,0.1000,1,0.0000255
exact increasing size,5,1,0.1000,1,0.0000449
approximation two factor,5,1,0.1000,2,0.0000664
approximation one by one,5,1,0.1000,1,0.0000227
exact exhaustive,5,1,0.1000,1,0.0000356
exact increasing size,5,1,0.1000,1,0.0000313
approximation two factor,5,1,0.1000,2,0.0000304
approximation one by one,5,1,0.1000,1,0.0000166
exact exhaustive,5,3,0.3000,2,0.000019
exact increasing size,5,3,0.3000,2,0.00004
approximation two factor,5,3,0.3000,4,0.0000267
approximation one by one,5,3,0.3000,3,0.000036
exact exhaustive,5,5,0.5000,2,0.0000375
exact increasing size,5,5,0.5000,2,0.0000317
approximation two factor,5,5,0.5000,4,0.0000323
approximation one by one,5,5,0.5000,2,0.000035
exact exhaustive,5,6,0.6000,2,0.0000443
exact increasing size,5,6,0.6000,2,0.0000558
approximation two factor,5,6,0.6000,4,0.0000386
