algorithm,vertex count,edge count,density,cover size,duration (s)
exact exhaustive,2,0,0.0000,0,0.0010183
exact increasing size,2,0,0.0000,0,0.0000051
exact alex optimization,2,0,0.0000,0,0.0000046
approximation two factor,2,0,0.0000,0,0.0007445
approximation one by one,2,0,0.0000,0,0.0000099
exact exhaustive,2,1,1.0000,1,0.0000276
exact increasing size,2,1,1.0000,1,0.00003
exact alex optimization,2,1,1.0000,1,0.0000976
approximation two factor,2,1,1.0000,2,0.0000327
approximation one by one,2,1,1.0000,1,0.0000263
exact exhaustive,2,1,1.0000,1,0.0000139
exact increasing size,2,1,1.0000,1,0.0000204
exact alex optimization,2,1,1.0000,1,0.0000368
approximation two factor,2,1,1.0000,2,0.0000327
approximation one by one,2,1,1.0000,1,0.0000456
exact exhaustive,2,1,1.0000,1,0.000014
exact increasing size,2,1,1.0000,1,0.0000193
exact alex optimization,2,1,1.0000,1,0.0000346
approximation two factor,2,1,1.0000,2,0.00003
approximation one by one,2,1,1.0000,1,0.0000392
exact exhaustive,2,1,1.0000,1,0.0000149
exact increasing size,2,1,1.0000,1,0.0000231
exact alex optimization,2,1,1.0000,1,0.0000352
approximation two factor,2,1,1.0000,2,0.0000255
approximation one by one,2,1,1.0000,1,0.0000358
exact exhaustive,2,0,0.0000,0,0.0000015
exact increasing size,2,0,0.0000,0,0.0000018
exact alex optimization,2,0,0.0000,0,0.0000016
approximation two factor,2,0,0.0000,0,0.0000071
approximation one by one,2,0,0.0000,0,0.0000056
exact exhaustive,2,1,1.0000,1,0.0000178
exact increasing size,2,1,1.0000,1,0.0000248
exact alex optimization,2,1,1.0000,1,0.0000426
approximation two factor,2,1,1.0000,2,0.0000258
approximation one by one,2,1,1.0000,1,0.0000222
exact exhaustive,2,1,1.0000,1,0.0000141
exact increasing size,2,1,1.0000,1,0.0000243
exact alex optimization,2,1,1.0000,1,0.0000404
approximation two factor,2,1,1.0000,2,0.0000272
approximation one by one,2,1,1.0000,1,0.000024
exact exhaustive,2,1,1.0000,1,0.0000318
exact increasing size,2,1,1.0000,1,0.0000286
exact alex optimization,2,1,1.0000,1,0.0000376
approximation two factor,2,1,1.0000,2,0.0000316
approximation one by one,2,1,1.0000,1,0.0000264
exact exhaustive,2,1,1.0000,1,0.0000128
exact increasing size,2,1,1.0000,1,0.000019
exact alex optimization,2,1,1.0000,1,0.0000317
approximation two factor,2,1,1.0000,2,0.0000358
approximation one by one,2,1,1.0000,1,0.0000268
exact exhaustive,2,1,1.0000,1,0.0000112
exact increasing size,2,1,1.0000,1,0.0000188
exact alex optimization,2,1,1.0000,1,0.0000315
approximation two factor,2,1,1.0000,2,0.000031
approximation one by one,2,1,1.0000,1,0.000032
exact exhaustive,2,1,1.0000,1,0.0000157
exact increasing size,2,1,1.0000,1,0.0000298
exact alex optimization,2,1,1.0000,1,0.0000475
approximation two factor,2,1,1.0000,2,0.0000425
approximation one by one,2,1,1.0000,1,0.0000317
exact exhaustive,3,0,0.0000,0,0.0000014
exact increasing size,3,0,0.0000,0,0.0000071
exact alex optimization,3,0,0.0000,0,0.0000027
approximation two factor,3,0,0.0000,0,0.0000084
approximation one by one,3,0,0.0000,0,0.000009
exact exhaustive,3,1,0.3333,1,0.0000212
exact increasing size,3,1,0.3333,1,0.0000248
exact alex optimization,3,1,0.3333,1,0.0000442
approximation two factor,3,1,0.3333,2,0.0000241
approximation one by one,3,1,0.3333,1,0.0000193
exact exhaustive,3,1,0.3333,1,0.0000143
